no,osm_id,nama_sekolah,jenjang,alamat,kelurahan,kecamatan,kota,lat,lng,sppg_terdekat,alamat_sppg,jarak_ke_sppg_km
1,450772006,Sd Negeri Kalijudan Ii,SD,Jalan Kalijudan Nomer 132,,Sukolilo (Expanded),Surabaya,-7.2571061,112.779005,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",4.44
2,450507068,Sd Negeri Kalisari I,SD,Jalan Mulyosari Utara X No 2-4,,Sukolilo (Expanded),Surabaya,-7.2612227,112.796486,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",3.36
3,466551713,Sd Negeri Kalisari Ii,SD,Jalan Taman Bhaskara No 1,,Sukolilo (Expanded),Surabaya,-7.2689121,112.7994734,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2.71
4,463575451,Sd Negeri Kedung Baruk I / 275,SD,jalan kedung baruk nomor 75,,Sukolilo (Expanded),Surabaya,-7.3121226,112.7759586,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.07
5,470110534,Sd Negeri Kejawen Putih 1,SD,Jalan Kejawen Putih Tambak Nomer 48A,,Sukolilo (Expanded),Surabaya,-7.2773006,112.802061,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2.17
6,467117563,Sd Negeri Kendang Sari Iii,SD,Jalan Tenggilis Mejoyo nomor 3,,Sukolilo (Expanded),Surabaya,-7.3187182,112.763671,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.63
7,465318724,Sd Negeri Keputih 245,SD,Jalan Arief Rachman Hakim No 1,,Sukolilo (Expanded),Surabaya,-7.289573,112.7848946,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.25
8,449316569,Sd Negeri Klampis Ngasem 3,SD,,,Sukolilo (Expanded),Surabaya,-7.2810928,112.7714031,SPPG Kota Surabaya Sukolilo Klampis Ngasem,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.25
9,449316572,Sd Negeri Klampis Ngasem 5,SD,Jalan Manyar Tirtoyoso Selatan 1 Nomor 1,,Sukolilo (Expanded),Surabaya,-7.2851985,112.7737939,SPPG Kota Surabaya Sukolilo Klampis Ngasem,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.74
10,449316568,Sd Negeri Manyar Sabrangan 3,SD,Jalan Manyar Tirtoyoso Selatan 1,,Sukolilo (Expanded),Surabaya,-7.2849156,112.7739343,SPPG Kota Surabaya Sukolilo Klampis Ngasem,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.77
11,448439408,Sd Negeri Manyar Sabrangan Ii/231,SD,"Jalan Manyar Tirtomoyo VIII No.1, Manyar Sabrangan, Mulyorejo, Kota SBY, Jawa Timur 60116, Indonesia",,Sukolilo (Expanded),Surabaya,-7.2845087,112.7680525,SPPG Kota Surabaya Sukolilo Klampis Ngasem,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.13
12,4478422246,Sd Negeri Medokan Semampir 1,SD,Jalan Semampir Gang Kelurahan No.124,,Sukolilo (Expanded),Surabaya,-7.3049728,112.7822079,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",0.94
13,449826523,Sd Negeri Menur Pumpungan,SD,Jalan Menur Pumpungan No.28,,Sukolilo (Expanded),Surabaya,-7.2885451,112.7659991,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.05
14,449826522,Sd Negeri Menur Pumpungan 4,SD,Jalan Nginden Semolo 23,,Sukolilo (Expanded),Surabaya,-7.2993116,112.7648496,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.46
15,449826526,Sd Negeri Menur Pumpungan V,SD,Jalan Manyar Rejo III,,Sukolilo (Expanded),Surabaya,-7.2971207,112.7644104,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.47
16,469351126,Sd Negeri Mojo Vi Nomor 225,SD,Jalan Mojo Klanggru Kidul 145,,Sukolilo (Expanded),Surabaya,-7.269058,112.7705012,SPPG Kota Surabaya Sukolilo Klampis Ngasem,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2.57
17,475565448,Sd Negeri Mojo Viii Nomor 227,SD,Jalan Karang Menjangan III Nomor 8,,Sukolilo (Expanded),Surabaya,-7.2708142,112.7629625,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",3.05
18,474343585,Sd Negeri Nginden Jangkungan 2 No 611,SD,Jalan Nginden Baru 6 No 30,,Sukolilo (Expanded),Surabaya,-7.3023832,112.7694342,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",0.18
19,449149849,Sd Negeri Pacar Kembang Iv,SD,Jalan Kedung Tarukan IV no.1,,Sukolilo (Expanded),Surabaya,-7.263804,112.7635538,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",3.81
20,449151865,Sd Negeri Pacarkembang,SD,Bronggalan no.36,,Sukolilo (Expanded),Surabaya,-7.2562786,112.765432,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",5.27
21,461337000,Sd Negeri Penjaringan I / 271,SD,Jalan Kendal Sari Selatan,,Sukolilo (Expanded),Surabaya,-7.3151706,112.7838036,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",2.07
22,461336998,Sd Negeri Penjaringan Sari Ii,SD,Jalan Pandugo Baru V,,Sukolilo (Expanded),Surabaya,-7.3190313,112.7866784,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",2.58
23,450536490,Sd Negeri Ploso I,SD,Jalan Ploso VI No. 9,,Sukolilo (Expanded),Surabaya,-7.2518029,112.7636384,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",5.78
24,450536492,Sd Negeri Ploso Iii,SD,Jalan Karang Empat no. 60-62,,Sukolilo (Expanded),Surabaya,-7.2514442,112.7709145,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",5.81
25,450536485,Sd Negeri Ploso V,SD,,,Sukolilo (Expanded),Surabaya,-7.251375,112.7741626,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",5.84
26,474304786,Sd Negeri Semolowaru 4/614,SD,Jalan Semolowaru Timur 2 No 1,,Sukolilo (Expanded),Surabaya,-7.3037702,112.7756995,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.73
27,465067582,Sd Negeri Wonorejo Nomor 274,SD,Jalan Wonorejo Rungkut Nomor 1,,Sukolilo (Expanded),Surabaya,-7.3113677,112.7968442,SPPG Kota Surabaya Sukolilo Medokan Semampir,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.9
28,448269767,Sdn Semolowaru 2/262,SD,jalan semolowaru 262,,Sukolilo (Expanded),Surabaya,-7.3003136,112.7795773,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",0.36
29,1453966502,Sdn Sutorejo 1-240,SD,,,Sukolilo (Expanded),Surabaya,-7.2595864,112.7910639,SPPG Kota Surabaya Sukolilo Semolowaru,"Jl. Klampis Semolo Barat No.85, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur",4.37
30,465066919,Ma Negeri Surabaya,SMA/SMK,Jalan Wonorejo Timur Nomor 14,,Sukolilo (Expanded),Surabaya,-7.3090269,112.7984608,SPPG Kota Surabaya Sukolilo Medokan Semampir,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.8
31,467117565,Sma Negeri 14 Surabaya,SMA/SMK,Jalan Perum YKP IV Tenggilis Mejoyo Blok KK,,Sukolilo (Expanded),Surabaya,-7.3152241,112.7656165,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.19
32,450968411,Sma Negeri 20 Surabaya,SMA/SMK,Jalan Medokan Semampir Indah,,Sukolilo (Expanded),Surabaya,-7.3071326,112.7892382,SPPG Kota Surabaya Sukolilo Medokan Semampir,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.55
33,450315802,Smk Negeri 10 Surabaya,SMA/SMK,Jalan Keputih Tegal,,Sukolilo (Expanded),Surabaya,-7.2933984,112.800167,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.49
34,470936374,Smk Negeri 5 Surabaya,SMA/SMK,Jalan Mayjen Prof Dr Moestopo167-169,,Sukolilo (Expanded),Surabaya,-7.2651282,112.7691311,SPPG Kota Surabaya Sukolilo Menur Pumpungan,"Jl. Manyar Jaya V No A24, Rt 001/Rw 08, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",3.62
35,450968408,Mts Negeri 1 Surabaya,SMP,Jalan Medokan Semampir Indah,,Sukolilo (Expanded),Surabaya,-7.3080955,112.7863865,SPPG Kota Surabaya Sukolilo Medokan Semampir,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.87
36,450316616,Smp Negeri 23 Surabaya,SMP,Jalan Baruk Barat VI,,Sukolilo (Expanded),Surabaya,-7.3199654,112.7775606,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",1.89
37,450968410,Smp Negeri 30 Surabaya,SMP,Jalan Medokan Semampir Indah,,Sukolilo (Expanded),Surabaya,-7.3070097,112.7902185,SPPG Kota Surabaya Sukolilo Medokan Semampir,"Perumahan Wisma Bahari, Jl. Kri Yos Sudarso Aa-3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",0.46
38,125578780,Smp Negeri 9 Surabaya,SMP,Jalan Kapas Krampung,,Sukolilo (Expanded),Surabaya,-7.2500157,112.7653516,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,"Nginden Jangkungan, Kecamatan Sukolilo, Kota Surabaya, Jawa Timur",5.97
